Tree stump : 1341 :[null, null, null, null, null]
Tree stump : 17493 :[null, null, null, null, null]
Tree Stump : 21274 :[null, null, null, null, null]
Tree stump : 23054 :[null, null, null, null, null]
Dying tree Stump : 24169 :[null, null, null, null, null]
Tree stump : 25186 :[null, null, null, null, null]
Tree stump : 26200 :[Inspect, null, null, null, null]
Tree stump : 26203 :[Inspect, null, null, null, null]
Tree stump : 27200 :[null, null, null, null, null]
Tree stump : 31057 :[null, null, null, null, null]
Tree Stump : 31296 :[null, null, null, null, null]
Tree stump : 36510 :[null, null, null, null, null]
Tree stump : 36891 :[null, null, null, null, null]
Tree stump : 37653 :[null, null, null, null, null]
Tree Stump : 37751 :[null, null, null, null, null]
Tree Stump : 37822 :[null, null, null, null, null]
Tree Stump : 37824 :[null, null, null, null, null]
Tree stump (level 20 approx.) : 38640 :[Cast, null, null, null, null]
Tree stump (level 20 approx.) : 38645 :[null, null, null, null, null]
Tree stump : 38867 :[Inspect, null, null, null, null]
Tree stump : 38868 :[Inspect, null, null, null, null]
Tree stump : 38869 :[Inspect, null, null, null, null]
Tree stump : 38871 :[Inspect, null, null, null, null]
Tree stump : 38877 :[Inspect, null, null, null, null]
Tree stump : 38879 :[Inspect, null, null, null, null]
Tree stump : 38899 :[Inspect, null, null, null, null]
Tree stump : 38909 :[Inspect, null, null, null, null]
Tree stump : 40350 :[null, null, null, null, null]
Tree stump : 40351 :[null, null, null, null, null]
Tree stump : 40352 :[null, null, null, null, null]
Tree stump : 40353 :[null, null, null, null, null]
Tree stump : 40354 :[null, null, null, null, null]
Tree stump : 40355 :[null, null, null, null, null]
Tree stump : 40356 :[null, null, null, null, null]
Tree stump : 40357 :[null, null, null, null, null]
Tree stump : 42860 :[null, null, null, null, null]
Tree Stump : 43493 :[null, null, null, null, null]
Tree stump : 46326 :[null, null, null, null, null]
Tree stump : 47595 :[null, null, null, null, null]
Tree stump : 47597 :[null, null, null, null, null]
Tree stump : 47599 :[null, null, null, null, null]
Tree stump : 47601 :[null, null, null, null, null]
Tree Stump : 54766 :[null, null, null, null, null]
Tree Stump : 54783 :[null, null, null, null, null]
Tree Stump : 57931 :[null, null, null, null, null]
Tree stump : 58131 :[null, null, null, null, null]
Tree stump : 58132 :[null, null, null, null, null]
Tree stump : 58134 :[null, null, null, null, null]
Tree stump : 61411 :[null, null, null, null, null]
Tree Stump : 63179 :[null, null, null, null, null]
Tree stump : 65256 :[null, null, null, null, null]
Tree stump : 68904 :[null, null, null, null, null]
Tree stump : 68905 :[null, null, null, null, null]
Tree stump : 68906 :[null, null, null, null, null]
Tree Stump : 69140 :[null, null, null, null, null]
Achey Tree stump : 69555 :[null, null, null, null, null]
Achey Tree stump : 69557 :[null, null, null, null, null]
Tree Stump : 70059 :[null, null, null, null, null]
Tree stump : 70062 :[null, null, null, null, null]
Tree stump : 70065 :[null, null, null, null, null]
Tree stump : 70067 :[null, null, null, null, null]
Tree stump : 70070 :[null, null, null, null, null]
Tree stump : 70073 :[null, null, null, null, null]
Tree Stump : 70100 :[null, null, null, null, null]
Blue tree stump : 73724 :[null, null, null, null, null]
Gold tree stump : 73727 :[null, null, null, null, null]
Black tree stump : 73730 :[null, null, null, null, null]
Green tree stump : 73733 :[null, null, null, null, null]
Red tree stump : 73736 :[null, null, null, null, null]
Tree stump : 77096 :[null, null, null, null, null]
Tree stump : 78118 :[null, null, null, null, null]
Tree stump : 78119 :[Investigate, null, null, null, null]
Tree stump : 78120 :[Investigate, null, null, null, null]
Tree stump : 79814 :[null, null, null, null, null]
Hollow tree stump : 82774 :[Take chest, null, null, null, null]
Empty tree stump : 82775 :[null, null, null, null, null]
