Strong tree : 241 :[Grapple, Build hidey-hole, null, null, null]
Apple tree : 7942 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7943 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7944 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7945 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7946 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7947 :[Pick-apple, Inspect, null, Guide, null]
Apple tree : 7948 :[Check-health, Inspect, null, Guide, null]
Diseased apple tree : 7949 :[Prune, Inspect, Clear, Guide, null]
Diseased apple tree : 7950 :[Prune, Inspect, Clear, Guide, null]
Diseased apple tree : 7951 :[Prune, Inspect, Clear, Guide, null]
Diseased apple tree : 7952 :[Prune, Inspect, Clear, Guide, null]
Diseased apple tree : 7953 :[Prune, Inspect, Clear, Guide, null]
Diseased apple tree : 7954 :[Prune, Inspect, Clear, Guide, null]
Dead apple tree : 7955 :[Clear, Inspect, null, Guide, null]
Dead apple tree : 7956 :[Clear, Inspect, null, Guide, null]
Dead apple tree : 7957 :[Clear, Inspect, null, Guide, null]
Dead apple tree : 7958 :[Clear, Inspect, null, Guide, null]
Dead apple tree : 7959 :[Clear, Inspect, null, Guide, null]
Dead apple tree : 7960 :[Clear, Inspect, null, Guide, null]
Apple tree stump : 7961 :[Clear, Inspect, null, Guide, null]
Banana tree : 7993 :[null, Inspect, Clear, Guide, null]
Banana tree : 7994 :[null, Inspect, Clear, Guide, null]
Banana tree : 7995 :[null, Inspect, Clear, Guide, null]
Banana tree : 7996 :[null, Inspect, Clear, Guide, null]
Banana tree : 7997 :[null, Inspect, Clear, Guide, null]
Banana tree : 7998 :[null, Inspect, Clear, Guide, null]
Banana tree : 7999 :[Check-health, Inspect, null, Guide, null]
Banana tree : 8000 :[Chop-down, Inspect, null, Guide, null]
Banana tree : 8001 :[Pick-banana, Inspect, null, Guide, null]
Banana tree : 8002 :[Pick-banana, Inspect, null, Guide, null]
Banana tree : 8003 :[Pick-banana, Inspect, null, Guide, null]
Banana tree : 8004 :[Pick-banana, Inspect, null, Guide, null]
Banana tree : 8005 :[Pick-banana, Inspect, null, Guide, null]
Banana tree : 8006 :[Pick-banana, Inspect, null, Guide, null]
Diseased banana tree : 8007 :[Prune, Inspect, Clear, Guide, null]
Diseased banana tree : 8008 :[Prune, Inspect, Clear, Guide, null]
Diseased banana tree : 8009 :[Prune, Inspect, Clear, Guide, null]
Diseased banana tree : 8010 :[Prune, Inspect, Clear, Guide, null]
Diseased banana tree : 8011 :[Prune, Inspect, Clear, Guide, null]
Diseased banana tree : 8012 :[Prune, Inspect, Clear, Guide, null]
Dead banana tree : 8013 :[Clear, Inspect, null, Guide, null]
Dead banana tree : 8014 :[Clear, Inspect, null, Guide, null]
Dead banana tree : 8015 :[Clear, Inspect, null, Guide, null]
Dead banana tree : 8016 :[Clear, Inspect, null, Guide, null]
Dead banana tree : 8017 :[Clear, Inspect, null, Guide, null]
Dead banana tree : 8018 :[Clear, Inspect, null, Guide, null]
Banana tree stump : 8019 :[Clear, Inspect, null, Guide, null]
Curry tree : 8020 :[null, Inspect, Clear, Guide, null]
Curry tree : 8021 :[null, Inspect, Clear, Guide, null]
Curry tree : 8022 :[null, Inspect, Clear, Guide, null]
Curry tree : 8023 :[null, Inspect, Clear, Guide, null]
Curry tree : 8024 :[null, Inspect, Clear, Guide, null]
Curry tree : 8025 :[null, Inspect, Clear, Guide, null]
Curry tree : 8026 :[Chop-down, Inspect, null, Guide, null]
Curry tree : 8027 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8028 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8029 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8030 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8031 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8032 :[Pick-leaf, Inspect, null, Guide, null]
Curry tree : 8033 :[Check-health, Inspect, null, Guide, null]
Diseased curry tree : 8034 :[Prune, Inspect, Clear, Guide, null]
Diseased curry tree : 8035 :[Prune, Inspect, Clear, Guide, null]
Diseased curry tree : 8036 :[Prune, Inspect, Clear, Guide, null]
Diseased curry tree : 8037 :[Prune, Inspect, Clear, Guide, null]
Diseased curry tree : 8038 :[Prune, Inspect, Clear, Guide, null]
Diseased curry tree : 8039 :[Prune, Inspect, Clear, Guide, null]
Dead curry tree : 8040 :[Clear, Inspect, null, Guide, null]
Dead curry tree : 8041 :[Clear, Inspect, null, Guide, null]
Dead curry tree : 8042 :[Clear, Inspect, null, Guide, null]
Dead curry tree : 8043 :[Clear, Inspect, null, Guide, null]
Dead curry tree : 8044 :[Clear, Inspect, null, Guide, null]
Dead curry tree : 8045 :[Clear, Inspect, null, Guide, null]
Curry tree stump : 8046 :[Clear, Inspect, null, Guide, null]
Fruit Tree Patch : 8047 :[null, Inspect, null, Guide, null]
Fruit Tree Patch : 8048 :[Rake, Inspect, null, Guide, null]
Fruit Tree Patch : 8049 :[Rake, Inspect, null, Guide, null]
Fruit Tree Patch : 8050 :[Rake, Inspect, null, Guide, null]
Orange tree : 8051 :[null, Inspect, null, Guide, null]
Orange tree : 8052 :[null, Inspect, null, Guide, null]
Orange tree : 8053 :[null, Inspect, Clear, Guide, null]
Orange tree : 8054 :[null, Inspect, Clear, Guide, null]
Orange tree : 8055 :[null, Inspect, Clear, Guide, null]
Orange tree : 8056 :[null, Inspect, Clear, Guide, null]
Orange tree : 8057 :[Chop-down, Inspect, null, Guide, null]
Orange tree : 8058 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8059 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8060 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8061 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8062 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8063 :[Pick-orange, Inspect, null, Guide, null]
Orange tree : 8064 :[Check-health, Inspect, null, Guide, null]
Diseased orange tree : 8065 :[Prune, Inspect, Clear, Guide, null]
Diseased orange tree : 8066 :[Prune, Inspect, Clear, Guide, null]
Diseased orange tree : 8067 :[Prune, Inspect, Clear, Guide, null]
Diseased orange tree : 8068 :[Prune, Inspect, Clear, Guide, null]
Diseased orange tree : 8069 :[Prune, Inspect, Clear, Guide, null]
Diseased orange tree : 8070 :[Prune, Inspect, Clear, Guide, null]
Dead orange tree : 8071 :[Clear, Inspect, null, Guide, null]
Dead orange tree : 8072 :[Clear, Inspect, null, Guide, null]
Dead orange tree : 8073 :[Clear, Inspect, null, Guide, null]
Dead orange tree : 8074 :[Clear, Inspect, null, Guide, null]
Dead orange tree : 8075 :[Clear, Inspect, null, Guide, null]
Dead orange tree : 8076 :[Clear, Inspect, null, Guide, null]
Orange tree stump : 8077 :[Clear, Inspect, null, Guide, null]
Palm tree : 8078 :[null, Inspect, Clear, Guide, null]
Palm tree : 8079 :[null, Inspect, Clear, Guide, null]
Palm tree : 8080 :[null, Inspect, Clear, Guide, null]
Palm tree : 8081 :[null, Inspect, Clear, Guide, null]
Palm tree : 8082 :[null, Inspect, Clear, Guide, null]
Palm tree : 8083 :[null, Inspect, Clear, Guide, null]
Palm tree : 8084 :[Chop-down, Inspect, null, Guide, null]
Palm tree : 8085 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8086 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8087 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8088 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8089 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8090 :[Pick-coconut, Inspect, null, Guide, null]
Palm tree : 8091 :[Check-health, Inspect, null, Guide, null]
Diseased palm tree : 8092 :[Prune, Inspect, Clear, Guide, null]
Diseased palm tree : 8093 :[Prune, Inspect, Clear, Guide, null]
Diseased palm tree : 8094 :[Prune, Inspect, Clear, Guide, null]
Diseased palm tree : 8095 :[Prune, Inspect, Clear, Guide, null]
Diseased palm tree : 8096 :[Prune, Inspect, Clear, Guide, null]
Diseased palm tree : 8097 :[Prune, Inspect, Clear, Guide, null]
Dead palm tree : 8098 :[Clear, Inspect, null, Guide, null]
Dead palm tree : 8099 :[Clear, Inspect, null, Guide, null]
Dead palm tree : 8100 :[Clear, Inspect, null, Guide, null]
Dead palm tree : 8101 :[Clear, Inspect, null, Guide, null]
Dead palm tree : 8102 :[Clear, Inspect, null, Guide, null]
Dead palm tree : 8103 :[Clear, Inspect, null, Guide, null]
Palm tree stump : 8104 :[Clear, Inspect, null, Guide, null]
Papaya tree : 8105 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8106 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8107 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8108 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8109 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8110 :[null, Inspect, Clear, Guide, null]
Papaya tree : 8111 :[Chop-down, Inspect, null, Guide, null]
Papaya tree : 8112 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8113 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8114 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8115 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8116 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8117 :[Pick-fruit, Inspect, null, Guide, null]
Papaya tree : 8118 :[Check-health, Inspect, null, Guide, null]
Diseased papaya tree : 8119 :[Prune, Inspect, Clear, Guide, null]
Diseased papaya tree : 8120 :[Prune, Inspect, Clear, Guide, null]
Diseased papaya tree : 8121 :[Prune, Inspect, Clear, Guide, null]
Diseased papaya tree : 8122 :[Prune, Inspect, Clear, Guide, null]
Diseased papaya tree : 8123 :[Prune, Inspect, Clear, Guide, null]
Diseased papaya tree : 8124 :[Prune, Inspect, Clear, Guide, null]
Dead papaya tree : 8125 :[Clear, Inspect, null, Guide, null]
Dead papaya tree : 8126 :[Clear, Inspect, null, Guide, null]
Dead papaya tree : 8127 :[Clear, Inspect, null, Guide, null]
Dead papaya tree : 8128 :[Clear, Inspect, null, Guide, null]
Dead papaya tree : 8129 :[Clear, Inspect, null, Guide, null]
Dead papaya tree : 8130 :[Clear, Inspect, null, Guide, null]
Papaya tree stump : 8131 :[Clear, Inspect, null, Guide, null]
Spirit Tree Patch : 8339 :[null, Inspect, null, Guide, null]
Spirit Tree Patch : 8340 :[Rake, Inspect, null, Guide, null]
Spirit Tree Patch : 8341 :[Rake, Inspect, null, Guide, null]
Spirit Tree Patch : 8342 :[Rake, Inspect, null, Guide, null]
Spirit Tree : 8343 :[null, Inspect, null, Guide, null]
Spirit Tree : 8344 :[null, Inspect, null, Guide, null]
Spirit Tree : 8345 :[null, Inspect, null, Guide, null]
Spirit Tree : 8346 :[null, Inspect, null, Guide, null]
Spirit Tree : 8347 :[null, Inspect, null, Guide, null]
Spirit Tree : 8348 :[null, Inspect, null, Guide, null]
Spirit Tree : 8349 :[null, Inspect, null, Guide, null]
Spirit Tree : 8350 :[null, Inspect, null, Guide, null]
Spirit Tree : 8351 :[null, Inspect, null, Guide, null]
Spirit Tree : 8352 :[null, Inspect, null, Guide, null]
Spirit Tree : 8353 :[null, Inspect, null, Guide, null]
Spirit Tree : 8354 :[null, Inspect, null, Guide, null]
Spirit Tree : 8355 :[Talk-to, Teleport, Clear, Guide, Inspect]
Spirit Tree : 8356 :[Check-health, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8358 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8359 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8360 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8361 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8362 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8363 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8364 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8365 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8366 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8367 :[Prune, Inspect, Clear, Guide, null]
Diseased Spirit Tree : 8368 :[Prune, Inspect, Clear, Guide, null]
Dead Spirit Tree : 8370 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8371 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8372 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8373 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8374 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8375 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8376 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8377 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8378 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8379 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8380 :[Clear, Inspect, null, Guide, null]
Dead Spirit Tree : 8381 :[Clear, Inspect, null, Guide, null]
Tree patch : 8392 :[null, Inspect, null, Guide, null]
Tree patch : 8393 :[Rake, Inspect, null, Guide, null]
Tree patch : 8394 :[Rake, Inspect, null, Guide, null]
Tree patch : 8395 :[Rake, Inspect, null, Guide, null]
Magic Tree : 8396 :[null, Inspect, null, Guide, null]
Magic Tree : 8397 :[null, Inspect, null, Guide, null]
Magic Tree : 8398 :[null, Inspect, null, Guide, null]
Magic Tree : 8399 :[null, Inspect, null, Guide, null]
Magic Tree : 8400 :[null, Inspect, null, Guide, null]
Magic Tree : 8401 :[null, Inspect, null, Guide, null]
Magic Tree : 8402 :[null, Inspect, null, Guide, null]
Magic Tree : 8403 :[null, Inspect, null, Guide, null]
Magic Tree : 8404 :[null, Inspect, null, Guide, null]
Magic Tree : 8405 :[null, Inspect, null, Guide, null]
Magic Tree : 8406 :[null, Inspect, null, Guide, null]
Magic Tree : 8407 :[null, Inspect, null, Guide, null]
Magic Tree : 8408 :[Check-health, Inspect, Clear, Guide, null]
Magic Tree : 8409 :[Chop down, Inspect, Clear, Guide, null]
Magic Tree Stump : 8410 :[Clear, Inspect, null, Guide, null]
Diseased Magic Tree : 8411 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8412 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8413 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8414 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8415 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8416 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8417 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8418 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8419 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8420 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8421 :[Prune, Inspect, Clear, Guide, null]
Diseased Magic Tree : 8422 :[Prune, Inspect, Clear, Guide, null]
Dead Magic Tree : 8423 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8424 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8425 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8426 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8427 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8428 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8429 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8430 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8431 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8432 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8433 :[Clear, Inspect, null, Guide, null]
Dead Magic Tree : 8434 :[Clear, Inspect, null, Guide, null]
Maple Tree : 8435 :[null, Inspect, null, Guide, null]
Maple Tree : 8436 :[null, Inspect, null, Guide, null]
Maple Tree : 8437 :[null, Inspect, null, Guide, null]
Maple Tree : 8438 :[null, Inspect, null, Guide, null]
Maple Tree : 8439 :[null, Inspect, null, Guide, null]
Maple Tree : 8440 :[null, Inspect, null, Guide, null]
Maple Tree : 8441 :[null, Inspect, null, Guide, null]
Maple Tree : 8442 :[null, Inspect, null, Guide, null]
Maple Tree : 8443 :[Check-health, Inspect, Clear, Guide, null]
Maple Tree : 8444 :[Chop down, Inspect, Clear, Guide, null]
Maple tree stump : 8445 :[Clear, Inspect, null, Guide, null]
Oak tree stump : 8468 :[Clear, Inspect, null, Guide, null]
Willow Tree : 8481 :[null, Inspect, null, Guide, null]
Willow Tree : 8482 :[null, Inspect, null, Guide, null]
Willow Tree : 8483 :[null, Inspect, null, Guide, null]
Willow Tree : 8484 :[null, Inspect, null, Guide, null]
Willow Tree : 8485 :[null, Inspect, null, Guide, null]
Willow Tree : 8486 :[null, Inspect, null, Guide, null]
Willow Tree : 8487 :[Check-health, Inspect, Clear, Guide, null]
Willow Tree : 8488 :[Chop down, Inspect, Clear, Guide, Gather-Branches]
Willow tree stump : 8489 :[Clear, Inspect, null, Guide, null]
Yew tree : 8503 :[null, Inspect, null, Guide, null]
Yew tree : 8504 :[null, Inspect, null, Guide, null]
Yew tree : 8505 :[null, Inspect, null, Guide, null]
Yew tree : 8506 :[null, Inspect, null, Guide, null]
Yew tree : 8507 :[null, Inspect, null, Guide, null]
Yew tree : 8508 :[null, Inspect, null, Guide, null]
Yew tree : 8509 :[null, Inspect, null, Guide, null]
Yew tree : 8510 :[null, Inspect, null, Guide, null]
Yew tree : 8511 :[null, Inspect, null, Guide, null]
